"","NO","miRBase.ID(s)","HGNC.symbol","family.No.","Chromosome","Gene.Start.(bp)","Gene.End.(bp)","Strand"
"657",64,"hsa-mir-1205","MIR1205",1205,"8",127960633,127960695,1
"658",65,"hsa-mir-1206","MIR1206",1206,"8",128008898,128008956,1
"659",66,"hsa-mir-1207","MIR1207",1207,"8",128049152,128049238,1
"660",67,"hsa-mir-1208","MIR1208",1208,"8",128150116,128150188,1
"985",68,"hsa-mir-3686","MIR3686",3686,"8",129484057,129484142,-1
"1481",69,"hsa-mir-5194","MIR5194",5194,"8",130008334,130008453,-1
"1824",70,"hsa-mir-7848","MIR7848",7848,"8",133046481,133046581,-1
"53",71,"hsa-mir-30b","MIR30B",30,"8",134800520,134800607,-1
"56",72,"hsa-mir-30d","MIR30D",30,"8",134804876,134804945,-1
"128",73,"hsa-mir-151a","MIR151A",151,"8",140732564,140732653,-1
"757",74,"hsa-mir-1302-7","MIR1302-7",1302,"8",141786242,141786313,-1
"1193",75,"hsa-mir-4472-1","MIR4472-1",4472,"8",142176339,142176418,1
"1304",76,"hsa-mir-4664","MIR4664",4664,"8",143733083,143733153,-1
"627",77,"hsa-mir-937","MIR937",937,"8",143812957,143813042,-1
"1734",78,"hsa-mir-6845","MIR6845",6845,"8",143837756,143837816,-1
"576",79,"hsa-mir-661","MIR661",661,"8",143945191,143945279,-1
"1735",80,"hsa-mir-6846","MIR6846",6846,"8",144057321,144057380,-1
"1736",81,"hsa-mir-6847","MIR6847",6847,"8",144079874,144079942,1
"1795",82,"hsa-mir-7112","MIR7112",7112,"8",144262673,144262737,-1
"1737",83,"hsa-mir-6848","MIR6848",6848,"8",144317246,144317315,-1
"629",84,"hsa-mir-939","MIR939",939,"8",144394149,144394230,-1
"670",85,"hsa-mir-1234","MIR1234",1234,"8",144400086,144400165,-1
"1738",86,"hsa-mir-6849","MIR6849",6849,"8",144400277,144400345,-1
"1786",87,"hsa-mir-6893","MIR6893",6893,"8",144435551,144435619,-1
"1739",88,"hsa-mir-6850","MIR6850",6850,"8",144791931,144791991,-1
"759",1,"hsa-mir-1302-9","MIR1302-9",1302,"9",30144,30281,1
"76",2,"hsa-mir-101-2","MIR101-2",101,"9",4850297,4850375,1
"1305",3,"hsa-mir-4665","MIR4665",4665,"9",6007826,6007904,1
"859",4,"hsa-mir-3152","MIR3152",3152,"9",18573306,18573379,1
"1195",5,"hsa-mir-4473","MIR4473",4473,"9",20411148,20411238,-1
"1196",6,"hsa-mir-4474","MIR4474",4474,"9",20502265,20502342,-1
"306",7,"hsa-mir-491","MIR491",491,"9",20716105,20716188,1
"58",8,"hsa-mir-31","MIR31",31,"9",21512115,21512185,-1
"607",9,"hsa-mir-876","MIR876",876,"9",28863626,28863706,-1
"604",10,"hsa-mir-873","MIR873",873,"9",28888879,28888955,-1
"1740",11,"hsa-mir-6851","MIR6851",6851,"9",33467869,33467935,-1
"1308",12,"hsa-mir-4667","MIR4667",4667,"9",35608094,35608159,1
"1741",13,"hsa-mir-6852","MIR6852",6852,"9",35710676,35710741,-1
"1742",14,"hsa-mir-6853","MIR6853",6853,"9",35732922,35732995,1
"1197",15,"hsa-mir-4475","MIR4475",4475,"9",36823539,36823599,-1
"1268",16,"hsa-mir-4540","MIR4540",4540,"9",36864254,36864308,-1
"1198",17,"hsa-mir-4476","MIR4476",4476,"9",36893462,36893531,-1
"747",18,"hsa-mir-1299","MIR1299",1299,"9",40929010,40929092,-1
"1199",19,"hsa-mir-4477a","MIR4477A",4477,"9",41233755,41233835,1
"1200",20,"hsa-mir-4477b","MIR4477B",4477,"9",63819574,63819654,1
"171",21,"hsa-mir-204","MIR204",204,"9",70809975,70810084,-1
"14",22,"hsa-mir-7-1","MIR7-1",7,"9",83969748,83969857,-1
"1089",23,"hsa-mir-4289","MIR4289",4289,"9",88745836,88745905,-1
"860",24,"hsa-mir-3153","MIR3153",3153,"9",89312225,89312306,1
"1090",25,"hsa-mir-4290","MIR4290",4290,"9",90023441,90023535,-1
"1006",26,"hsa-mir-3910-1","MIR3910-1",3910,"9",91636251,91636361,1
"1007",27,"hsa-mir-3910-2","MIR3910-2",3910,"9",91636264,91636345,-1
"949",28,"hsa-mir-3651","MIR3651",3651,"9",92292458,92292547,-1
"1311",29,"hsa-mir-4670","MIR4670",4670,"9",92527984,92528058,-1
"415",30,"hsa-mir-548au","MIR548AU",548,"9",93594841,93594894,1
"1091",31,"hsa-mir-4291","MIR4291",4291,"9",93819357,93819421,1
"1",32,"hsa-let-7a-1","MIRLET7A1",7,"9",94175957,94176036,1
"8",33,"hsa-let-7f-1","MIRLET7F1",7,"9",94176347,94176433,1
"6",34,"hsa-let-7d","MIRLET7D",7,"9",94178834,94178920,1
"803",35,"hsa-mir-2278","MIR2278",2278,"9",94809962,94810057,1
"1551",36,"hsa-mir-6081","MIR6081",6081,"9",95065350,95065446,1
"37",37,"hsa-mir-23b","MIR23B",23,"9",95085208,95085304,1
"46",38,"hsa-mir-27b","MIR27B",27,"9",95085445,95085541,1
"813",39,"hsa-mir-3074","MIR3074",3074,"9",95086014,95086094,-1
"39",40,"hsa-mir-24-1","MIR24-1",24,"9",95086021,95086088,1
"758",41,"hsa-mir-1302-8","MIR1302-8",1302,"9",97363554,97363681,-1
"1743",42,"hsa-mir-6854","MIR6854",6854,"9",98229149,98229217,-1
"1871",43,"hsa-mir-8081","MIR8081",8081,"9",106600928,106601022,1
"59",44,"hsa-mir-32","MIR32",32,"9",109046229,109046298,-1
"1027",45,"hsa-mir-3927","MIR3927",3927,"9",109511475,109511545,-1
"1814",46,"hsa-mir-7702","MIR7702",7702,"9",111271156,111271214,-1
"1309",47,"hsa-mir-4668","MIR4668",4668,"9",111932100,111932169,1
"294",48,"hsa-mir-455","MIR455",455,"9",114209434,114209529,1
"122",49,"hsa-mir-147a","MIR147A",147,"9",120244979,120245050,-1
"1201",50,"hsa-mir-4478","MIR4478",4478,"9",122120082,122120167,-1
"514",51,"hsa-mir-600","MIR600",600,"9",123111546,123111643,-1
"515",52,"hsa-mir-601","MIR601",601,"9",123402525,123402603,-1
"1798",53,"hsa-mir-7150","MIR7150",7150,"9",123485529,123485622,-1
"136",54,"hsa-mir-181a-2","MIR181A2",181,"9",124692442,124692551,1
"138",55,"hsa-mir-181b-2","MIR181B2",181,"9",124693710,124693798,1
"1008",56,"hsa-mir-3911","MIR3911",3911,"9",127690687,127690795,-1
"1042",57,"hsa-mir-3960","MIR3960",3960,"9",127785833,127785923,1
"809",58,"hsa-mir-2861","MIR2861",2861,"9",127785918,127786007,1
"1313",59,"hsa-mir-4672","MIR4672",4672,"9",127869415,127869495,-1
"164",60,"hsa-mir-199b","MIR199B",199,"9",128244721,128244830,-1
"861",61,"hsa-mir-3154","MIR3154",3154,"9",128244947,128245030,-1
"187",62,"hsa-mir-219a-2","MIR219A2",219,"9",128392618,128392714,-1
"188",63,"hsa-mir-219b","MIR219B",219,"9",128392621,128392708,1
"1744",64,"hsa-mir-6855","MIR6855",6855,"9",129869605,129869671,1
"1745",65,"hsa-mir-6856","MIR6856",6856,"9",130626297,130626363,1
"417",66,"hsa-mir-548aw","MIR548AW",548,"9",132945707,132945771,1
"1770",67,"hsa-mir-6877","MIR6877",6877,"9",133051996,133052059,1
"1310",68,"hsa-mir-4669","MIR4669",4669,"9",134379411,134379472,1
"992",69,"hsa-mir-3689c","MIR3689C",3689,"9",134849298,134849369,-1
"990",70,"hsa-mir-3689a","MIR3689A",3689,"9",134849487,134849564,-1
"993",71,"hsa-mir-3689d-1","MIR3689D1",3689,"9",134849609,134849682,-1
"991",72,"hsa-mir-3689b","MIR3689B",3689,"9",134850125,134850272,-1
"994",73,"hsa-mir-3689d-2","MIR3689D2",3689,"9",134850277,134850356,-1
"995",74,"hsa-mir-3689e","MIR3689E",3689,"9",134850570,134850641,-1
"996",75,"hsa-mir-3689f","MIR3689F",3689,"9",134850742,134850807,-1
"1314",76,"hsa-mir-4673","MIR4673",4673,"9",136519568,136519626,-1
"1315",77,"hsa-mir-4674","MIR4674",4674,"9",136546173,136546259,-1
"93",78,"hsa-mir-126","MIR126",126,"9",136670602,136670686,1
"1605",79,"hsa-mir-6722","MIR6722",6722,"9",136746893,136746970,-1
"1092",80,"hsa-mir-4292","MIR4292",4292,"9",136830957,136831023,1
"1202",81,"hsa-mir-4479","MIR4479",4479,"9",136886733,136886803,1
"941",82,"hsa-mir-3621","MIR3621",3621,"9",137169186,137169270,-1
"1797",83,"hsa-mir-7114","MIR7114",7114,"9",137450026,137450086,-1
"516",84,"hsa-mir-602","MIR602",602,"9",137838419,137838516,1
"1524",1,"hsa-mir-5699","MIR5699",5699,"10",641689,641778,-1
"1542",2,"hsa-mir-6072","MIR6072",6072,"10",2076019,2076089,-1
"1548",3,"hsa-mir-6078","MIR6078",6078,"10",3991160,3991259,1
"862",4,"hsa-mir-3155a","MIR3155A",3155,"10",6152196,6152277,1
"863",5,"hsa-mir-3155b","MIR3155B",3155,"10",6152207,6152262,-1
"405",6,"hsa-mir-548ak","MIR548AK",548,"10",12130760,12130816,-1
"1203",7,"hsa-mir-4480","MIR4480",4480,"10",12578753,12578823,1
"1204",8,"hsa-mir-4481","MIR4481",4481,"10",12653138,12653197,-1
"451",9,"hsa-mir-548q","MIR548Q",548,"10",12725254,12725353,-1
"1093",10,"hsa-mir-4293","MIR4293",4293,"10",14383200,14383277,-1
"703",11,"hsa-mir-1265","MIR1265",1265,"10",14436576,14436661,1
"330",12,"hsa-mir-511","MIR511",511,"10",17845107,17845193,1
"1316",13,"hsa-mir-4675","MIR4675",4675,"10",20551970,20552046,1
"787",14,"hsa-mir-1915","MIR1915",1915,"10",21496562,21496641,-1
"690",15,"hsa-mir-1254-2","MIR1254-2",1254,"10",23393405,23393467,1
"517",16,"hsa-mir-603","MIR603",603,"10",24275685,24275781,1
"1876",17,"hsa-mir-8086","MIR8086",8086,"10",28289258,28289350,-1
"518",18,"hsa-mir-604","MIR604",604,"10",29545004,29545097,-1
"628",19,"hsa-mir-938","MIR938",938,"10",29602264,29602346,-1
"1810",20,"hsa-mir-7162","MIR7162",7162,"10",30368597,30368665,-1
"931",21,"hsa-mir-3611","MIR3611",3611,"10",35079598,35079680,-1
"1325",22,"hsa-mir-4683","MIR4683",4683,"10",35641172,35641252,-1
"1472",23,"hsa-mir-5100","MIR5100",5100,"10",42997563,42997681,1
"864",24,"hsa-mir-3156-1","MIR3156-1",3156,"10",45164014,45164088,1
"1094",25,"hsa-mir-4294","MIR4294",4294,"10",48985512,48985587,-1
"519",26,"hsa-mir-605","MIR605",605,"10",51299573,51299655,1
"428",27,"hsa-mir-548f-1","MIR548F1",548,"10",54607874,54607957,-1
"1023",28,"hsa-mir-3924","MIR3924",3924,"10",57304479,57304559,-1
"744",29,"hsa-mir-1296","MIR1296",1296,"10",63372957,63373048,-1
"1799",30,"hsa-mir-7151","MIR7151",7151,"10",67403351,67403410,-1
"689",31,"hsa-mir-1254-1","MIR1254-1",1254,"10",68759318,68759414,1
"1800",32,"hsa-mir-7152","MIR7152",7152,"10",71790747,71790800,1
"1317",33,"hsa-mir-4676","MIR4676",4676,"10",72721029,72721100,1
"520",34,"hsa-mir-606","MIR606",606,"10",75552458,75552553,1
"231",35,"hsa-mir-346","MIR346",346,"10",86264694,86264788,-1
"1319",36,"hsa-mir-4678","MIR4678",4678,"10",87503881,87503954,1
"1321",37,"hsa-mir-4679-2","MIR4679-2",4679,"10",89063335,89063411,-1
"1320",38,"hsa-mir-4679-1","MIR4679-1",4679,"10",89063336,89063410,1
"85",39,"hsa-mir-107","MIR107",107,"10",89592747,89592827,-1
"867",40,"hsa-mir-3157","MIR3157",3157,"10",96064315,96064399,-1
"521",41,"hsa-mir-607","MIR607",607,"10",96828669,96828764,-1
"733",42,"hsa-mir-1287","MIR1287",1287,"10",98395218,98395307,-1
"1327",43,"hsa-mir-4685","MIR4685",4685,"10",98431292,98431360,-1
"1582",44,"hsa-mir-6507","MIR6507",6507,"10",98924499,98924568,-1
"522",45,"hsa-mir-608","MIR608",608,"10",100974985,100975084,1
"868",46,"hsa-mir-3158-1","MIR3158-1",3158,"10",101601417,101601497,1
"869",47,"hsa-mir-3158-2","MIR3158-2",3158,"10",101601417,101601497,-1
"121",48,"hsa-mir-146b","MIR146B",146,"10",102436512,102436584,1
"764",49,"hsa-mir-1307","MIR1307",1307,"10",103394253,103394401,-1
"626",50,"hsa-mir-936","MIR936",936,"10",104048089,104048186,-1
"523",51,"hsa-mir-609","MIR609",609,"10",104218789,104218883,-1
"1205",52,"hsa-mir-4482","MIR4482",4482,"10",104268336,104268405,-1
"1322",53,"hsa-mir-4680","MIR4680",4680,"10",110898090,110898155,1
"427",54,"hsa-mir-548e","MIR548E",548,"10",110988926,110989013,1
"1597",55,"hsa-mir-6715a","MIR6715A",6715,"10",112299612,112299690,1
"1598",56,"hsa-mir-6715b","MIR6715B",6715,"10",112299612,112299688,-1
"1095",57,"hsa-mir-4295","MIR4295",4295,"10",112634170,112634254,1
"1206",58,"hsa-mir-4483","MIR4483",4483,"10",113777993,113778054,-1
"795",59,"hsa-mir-2110","MIR2110",2110,"10",114174105,114174179,-1
"961",60,"hsa-mir-3663","MIR3663",3663,"10",117167678,117167774,-1
"1323",61,"hsa-mir-4681","MIR4681",4681,"10",119377972,119378043,1
"1324",62,"hsa-mir-4682","MIR4682",4682,"10",119958513,119958592,1
"1037",63,"hsa-mir-3941","MIR3941",3941,"10",122416965,122417067,1
"1096",64,"hsa-mir-4296","MIR4296",4296,"10",125032783,125032870,-1
"1207",65,"hsa-mir-4484","MIR4484",4484,"10",125819740,125819822,1
"1097",66,"hsa-mir-4297","MIR4297",4297,"10",129843299,129843374,-1
"255",67,"hsa-mir-378c","MIR378C",378,"10",130962588,130962668,-1
"168",68,"hsa-mir-202","MIR202",202,"10",133247511,133247620,-1
"1040",69,"hsa-mir-3944","MIR3944",3944,"10",133371556,133371663,-1
"1628",1,"hsa-mir-6743","MIR6743",6743,"11",209336,209406,1
"176",2,"hsa-mir-210","MIR210",210,"11",568089,568198,-1
"1629",3,"hsa-mir-6744","MIR6744",6744,"11",1256605,1256670,1
"1098",4,"hsa-mir-4298","MIR4298",4298,"11",1859464,1859536,-1
"1823",5,"hsa-mir-7847","MIR7847",7847,"11",1880045,1880147,1
"586",6,"hsa-mir-675","MIR675",675,"11",1996759,1996831,-1
"296",7,"hsa-mir-483","MIR483",483,"11",2134134,2134209,-1
"1328",8,"hsa-mir-4686","MIR4686",4686,"11",2173063,2173138,1
"1329",9,"hsa-mir-4687","MIR4687",4687,"11",3856062,3856141,1
"204",10,"hsa-mir-302e","MIR302E",302,"11",7234766,7234837,1
"1512",11,"hsa-mir-5691","MIR5691",5691,"11",9090312,9090379,-1
"1208",12,"hsa-mir-4485","MIR4485",4485,"11",10508270,10508326,-1
"1099",13,"hsa-mir-4299","MIR4299",4299,"11",11656651,11656722,-1
"1859",14,"hsa-mir-8070","MIR8070",8070,"11",11783135,11783222,-1
"1562",15,"hsa-mir-6124","MIR6124",6124,"11",12163683,12163767,1
"1543",16,"hsa-mir-6073","MIR6073",6073,"11",15969533,15969621,-1
"870",17,"hsa-mir-3159","MIR3159",3159,"11",18387787,18387860,1
"1209",18,"hsa-mir-4486","MIR4486",4486,"11",19575310,19575372,1
"1336",19,"hsa-mir-4694","MIR4694",4694,"11",19760004,19760083,-1
"1842",20,"hsa-mir-8054","MIR8054",8054,"11",23419105,23419190,-1
"1877",21,"hsa-mir-8087","MIR8087",8087,"11",27514970,27515047,-1
"524",22,"hsa-mir-610","MIR610",610,"11",28056815,28056910,1
"1856",23,"hsa-mir-8068","MIR8068",8068,"11",28477481,28477548,-1
"769",24,"hsa-mir-1343","MIR1343",1343,"11",34941837,34941920,1
"1044",25,"hsa-mir-3973","MIR3973",3973,"11",36010098,36010204,1
"584",26,"hsa-mir-670","MIR670",670,"11",43559656,43559753,1
"98",27,"hsa-mir-129-2","MIR129-2",129,"11",43581394,43581483,1
"1802",28,"hsa-mir-7154","MIR7154",7154,"11",45691704,45691776,-1
"1330",29,"hsa-mir-4688","MIR4688",4688,"11",46376402,46376484,1
"871",30,"hsa-mir-3160-1","MIR3160-1",3160,"11",46451805,46451889,-1
"872",31,"hsa-mir-3160-2","MIR3160-2",3160,"11",46451807,46451887,1
"1490",32,"hsa-mir-5582","MIR5582",5582,"11",46753125,46753192,-1
"1630",33,"hsa-mir-6745","MIR6745",6745,"11",47179611,47179737,-1
"1210",34,"hsa-mir-4487","MIR4487",4487,"11",47400970,47401042,1
"873",35,"hsa-mir-3161","MIR3161",3161,"11",48096782,48096858,1
"1566",36,"hsa-mir-6128","MIR6128",6128,"11",56743873,56743981,1
"99",37,"hsa-mir-130a","MIR130A",130,"11",57641198,57641286,1
"874",38,"hsa-mir-3162","MIR3162",3162,"11",59595077,59595158,-1
"1578",39,"hsa-mir-6503","MIR6503",6503,"11",60209071,60209156,-1
"1211",40,"hsa-mir-4488","MIR4488",4488,"11",61508596,61508657,1
"525",41,"hsa-mir-611","MIR611",611,"11",61792495,61792561,-1
"780",42,"hsa-mir-1908","MIR1908",1908,"11",61815161,61815240,-1
"1631",43,"hsa-mir-6746","MIR6746",6746,"11",61878216,61878278,-1
"1632",44,"hsa-mir-6747","MIR6747",6747,"11",62567011,62567071,-1
"1633",45,"hsa-mir-6748","MIR6748",6748,"11",62789815,62789885,1
"1594",46,"hsa-mir-6514","MIR6514",6514,"11",62792702,62792771,-1
"1803",47,"hsa-mir-7155","MIR7155",7155,"11",64341849,64341904,-1
"672",48,"hsa-mir-1237","MIR1237",1237,"11",64368602,64368703,1
"151",49,"hsa-mir-192","MIR192",192,"11",64891137,64891246,-1
"155",50,"hsa-mir-194-2","MIR194-2",194,"11",64891355,64891439,-1
"1635",51,"hsa-mir-6750","MIR6750",6750,"11",64898363,64898437,-1
"1634",52,"hsa-mir-6749","MIR6749",6749,"11",64902387,64902455,-1
"1772",53,"hsa-mir-6879","MIR6879",6879,"11",65018505,65018570,1
"1636",54,"hsa-mir-6751","MIR6751",6751,"11",65129916,65129978,-1
"526",55,"hsa-mir-612","MIR612",612,"11",65444458,65444557,1
"1332",56,"hsa-mir-4690","MIR4690",4690,"11",65636310,65636369,1
"1212",57,"hsa-mir-4489","MIR4489",4489,"11",65649192,65649253,1
"875",58,"hsa-mir-3163","MIR3163",3163,"11",66934434,66934506,-1
"1752",59,"hsa-mir-6860","MIR6860",6860,"11",67045643,67045708,1
"1637",60,"hsa-mir-6752","MIR6752",6752,"11",67490245,67490315,1
"1796",61,"hsa-mir-7113","MIR7113",7113,"11",68032864,68032922,1
"1333",62,"hsa-mir-4691","MIR4691",4691,"11",68033897,68033981,1
"1638",63,"hsa-mir-6753","MIR6753",6753,"11",68044794,68044957,1
"876",64,"hsa-mir-3164","MIR3164",3164,"11",69083176,69083258,1
"444",65,"hsa-mir-548k","MIR548K",548,"11",70283955,70284070,1
"962",66,"hsa-mir-3664","MIR3664",3664,"11",70872270,70872368,-1
"1639",67,"hsa-mir-6754","MIR6754",6754,"11",71473503,71473568,1
"877",68,"hsa-mir-3165","MIR3165",3165,"11",72072228,72072302,-1
"113",69,"hsa-mir-139","MIR139",139,"11",72615063,72615130,-1
"1334",70,"hsa-mir-4692","MIR4692",4692,"11",72783530,72783592,1
"406",71,"hsa-mir-548al","MIR548AL",548,"11",74399237,74399333,1
"1338",72,"hsa-mir-4696","MIR4696",4696,"11",74720268,74720337,-1
"218",73,"hsa-mir-326","MIR326",326,"11",75335092,75335186,-1
"588",74,"hsa-mir-708","MIR708",708,"11",79402022,79402109,-1
"1487",75,"hsa-mir-5579","MIR5579",5579,"11",79422169,79422226,-1
"1100",76,"hsa-mir-4300","MIR4300",4300,"11",81890741,81890836,-1
"1640",77,"hsa-mir-6755","MIR6755",6755,"11",86278333,86278398,1
"878",78,"hsa-mir-3166","MIR3166",3166,"11",88176502,88176593,1
"1213",79,"hsa-mir-4490","MIR4490",4490,"11",90555774,90555857,-1
"699",80,"hsa-mir-1261","MIR1261",1261,"11",90869121,90869202,-1
"761",81,"hsa-mir-1304","MIR1304",1304,"11",93733674,93733764,-1
"445",82,"hsa-mir-548l","MIR548L",548,"11",94466495,94466580,-1
"698",83,"hsa-mir-1260b","MIR1260B",1260,"11",96341438,96341526,1
"1019",84,"hsa-mir-3920","MIR3920",3920,"11",101519820,101519905,-1
"1335",85,"hsa-mir-4693","MIR4693",4693,"11",103849906,103849980,1
"1812",86,"hsa-mir-7641-1","MIR7641-1",7641,"11",104252591,104252651,1
"1214",87,"hsa-mir-4491","MIR4491",4491,"11",111347757,111347824,1
"63",88,"hsa-mir-34b","MIR34B",34,"11",111512938,111513021,1
"64",89,"hsa-mir-34c","MIR34C",34,"11",111513439,111513515,1
"1101",90,"hsa-mir-4301","MIR4301",4301,"11",113450023,113450088,-1
"1599",91,"hsa-mir-6716","MIR6716",6716,"11",118644000,118644079,1
"1215",92,"hsa-mir-4492","MIR4492",4492,"11",118910708,118910787,1
"954",93,"hsa-mir-3656","MIR3656",3656,"11",119018944,119019012,1
"1641",94,"hsa-mir-6756","MIR6756",6756,"11",119312950,119313012,-1
"91",95,"hsa-mir-125b-1","MIR125B1",125,"11",122099757,122099844,-1
"2",96,"hsa-let-7a-2","MIRLET7A2",7,"11",122146522,122146593,-1
"74",97,"hsa-mir-100","MIR100",100,"11",122152229,122152308,-1
"1216",98,"hsa-mir-4493","MIR4493",4493,"11",123381440,123381512,-1
"879",99,"hsa-mir-3167","MIR3167",3167,"11",126988458,126988542,-1
"1561",100,"hsa-mir-6090","MIR6090",6090,"11",128522390,128522449,1
"1840",101,"hsa-mir-8052","MIR8052",8052,"11",130666735,130666803,1
"1339",102,"hsa-mir-4697","MIR4697",4697,"11",133898504,133898581,-1
"947",1,"hsa-mir-3649","MIR3649",3649,"12",1660315,1660380,-1
"167",2,"hsa-mir-200c","MIR200C",200,"12",6963699,6963766,1
"115",3,"hsa-mir-141","MIR141",141,"12",6964097,6964191,1
"677",4,"hsa-mir-1244-3","MIR1244-3",1244,"12",9239467,9239551,-1
"678",5,"hsa-mir-1244-4","MIR1244-4",1244,"12",12111952,12112036,1
"527",6,"hsa-mir-613","MIR613",613,"12",12764649,12764743,1
"528",7,"hsa-mir-614","MIR614",614,"12",12915829,12915918,1
"1045",8,"hsa-mir-3974","MIR3974",3974,"12",17673299,17673394,1
"619",9,"hsa-mir-920","MIR920",920,"12",24212421,24212495,1
"1102",10,"hsa-mir-4302","MIR4302",4302,"12",25874020,25874079,-1
"1827",11,"hsa-mir-7851","MIR7851",7851,"12",42323700,42323859,-1
"1340",12,"hsa-mir-4698","MIR4698",4698,"12",47187812,47187891,1
"1217",13,"hsa-mir-4494","MIR4494",4494,"12",47364186,47364269,-1
"1580",14,"hsa-mir-6505","MIR6505",6505,"12",48132797,48132867,1
"738",15,"hsa-mir-1291","MIR1291",1291,"12",48654444,48654530,-1
"1343",16,"hsa-mir-4701","MIR4701",4701,"12",48771975,48772037,-1
"740",17,"hsa-mir-1293","MIR1293",1293,"12",50234142,50234212,-1
"1642",18,"hsa-mir-6757","MIR6757",6757,"12",53056944,53057012,1
"158",19,"hsa-mir-196a-2","MIR196A2",196,"12",53991738,53991847,1
"529",20,"hsa-mir-615","MIR615",615,"12",54033950,54034045,1
"917",21,"hsa-mir-3198-2","MIR3198-2",3198,"12",54231397,54231476,-1
"125",22,"hsa-mir-148b","MIR148B",148,"12",54337216,54337314,1
"665",23,"hsa-mir-1228","MIR1228",1228,"12",57194504,57194576,1
"1643",24,"hsa-mir-6758","MIR6758",6758,"12",57512688,57512750,1
"530",25,"hsa-mir-616","MIR616",616,"12",57519163,57519259,-1
"1644",26,"hsa-mir-6759","MIR6759",6759,"12",57748618,57748682,-1
"43",27,"hsa-mir-26a-2","MIR26A2",26,"12",57824609,57824692,-1
"1563",28,"hsa-mir-6125","MIR6125",6125,"12",62260359,62260454,1
"11",29,"hsa-let-7i","MIRLET7I",7,"12",62603686,62603769,1
"424",30,"hsa-mir-548c","MIR548C",548,"12",64622509,64622605,1
"460",31,"hsa-mir-548z","MIR548Z",548,"12",64622509,64622605,-1
"1544",32,"hsa-mir-6074","MIR6074",6074,"12",66023620,66023726,-1
"1577",33,"hsa-mir-6502","MIR6502",6502,"12",66251082,66251157,1
"724",34,"hsa-mir-1279","MIR1279",1279,"12",69273157,69273218,-1
"1010",35,"hsa-mir-3913-1","MIR3913-1",3913,"12",69584722,69584823,-1
"1011",36,"hsa-mir-3913-2","MIR3913-2",3913,"12",69584723,69584822,1
"687",37,"hsa-mir-1252","MIR1252",1252,"12",79419257,79419321,1
"531",38,"hsa-mir-617","MIR617",617,"12",80832533,80832629,-1
"532",39,"hsa-mir-618","MIR618",618,"12",80935736,80935833,-1
"1341",40,"hsa-mir-4699","MIR4699",4699,"12",81158388,81158461,1
"1525",41,"hsa-mir-5700","MIR5700",5700,"12",94561789,94561859,1
"1820",42,"hsa-mir-7844","MIR7844",7844,"12",94571231,94571352,-1
"307",43,"hsa-mir-492","MIR492",492,"12",94834398,94834513,1
"223",44,"hsa-mir-331","MIR331",331,"12",95308420,95308513,1
"984",45,"hsa-mir-3685","MIR3685",3685,"12",95309923,95309984,1
"686",46,"hsa-mir-1251","MIR1251",1251,"12",97491909,97491978,1
"107",47,"hsa-mir-135a-2","MIR135A2",135,"12",97563812,97563911,1
"1218",48,"hsa-mir-4495","MIR4495",4495,"12",97939056,97939121,-1
"1103",49,"hsa-mir-4303","MIR4303",4303,"12",97995383,97995448,-1
"779",50,"hsa-mir-1827","MIR1827",1827,"12",100189884,100189949,1
"950",51,"hsa-mir-3652","MIR3652",3652,"12",103930425,103930555,1
"1021",52,"hsa-mir-3922","MIR3922",3922,"12",104591633,104591716,1
"1219",53,"hsa-mir-4496","MIR4496",4496,"12",108635810,108635870,1
"533",54,"hsa-mir-619","MIR619",619,"12",108836908,108837006,-1
"1220",55,"hsa-mir-4497","MIR4497",4497,"12",109833348,109833436,1
"1645",56,"hsa-mir-6760","MIR6760",6760,"12",111304142,111304209,1
"1646",57,"hsa-mir-6761","MIR6761",6761,"12",111799834,111799905,1
"955",58,"hsa-mir-3657","MIR3657",3657,"12",112037599,112037715,-1
"1753",59,"hsa-mir-6861","MIR6861",6861,"12",112163258,112163321,-1
"749",60,"hsa-mir-1302-1","MIR1302-1",1302,"12",112695034,112695176,-1
"1789",61,"hsa-mir-7106","MIR7106",7106,"12",113159113,113159177,-1
"1647",62,"hsa-mir-6762","MIR6762",6762,"12",113291523,113291608,1
"534",63,"hsa-mir-620","MIR620",620,"12",116148560,116148654,-1
"1194",64,"hsa-mir-4472-2","MIR4472-2",4472,"12",116428252,116428318,-1
"639",65,"hsa-mir-1178","MIR1178",1178,"12",119713634,119713724,-1
"1221",66,"hsa-mir-4498","MIR4498",4498,"12",120155434,120155499,-1
"1342",67,"hsa-mir-4700","MIR4700",4700,"12",120723193,120723266,1
"1790",68,"hsa-mir-7107","MIR7107",7107,"12",121444273,121444352,-1
"1104",69,"hsa-mir-4304","MIR4304",4304,"12",123010667,123010728,-1
"1862",70,"hsa-mir-8072","MIR8072",8072,"12",123364764,123364843,-1
"1004",71,"hsa-mir-3908","MIR3908",3908,"12",123536409,123536534,1
"1773",72,"hsa-mir-6880","MIR6880",6880,"12",124337181,124337242,-1
"1475",73,"hsa-mir-5188","MIR5188",5188,"12",124915547,124915659,1
"1135",74,"hsa-mir-4419b","MIR4419B",4419,"12",128244506,128244573,1
"932",75,"hsa-mir-3612","MIR3612",3612,"12",128294092,128294178,1
"1648",76,"hsa-mir-6763","MIR6763",6763,"12",132581997,132582061,1
"1222",1,"hsa-mir-4499","MIR4499",4499,"13",20433778,20433846,-1
